name	pgn
Nimzo-Larsen Attack: Graz Attack	1. b3 d5 2. Ba3
Nimzo-Larsen Attack: Indian Variation	1. b3 Nf6
Nimzo-Larsen Attack: Modern Variation	1. b3 e5
Nimzo-Larsen Attack: Modern Variation	1. b3 e5 2. Bb2 Nc6
Nimzo-Larsen Attack: Modern Variation	1. b3 e5 2. Bb2 Nc6 3. e3
Nimzo-Larsen Attack: Pachman Gambit	1. b3 e5 2. Bb2 Nc6 3. f4
Nimzo-Larsen Attack: Polish Variation	1. b3 b5
Nimzo-Larsen Attack: Ringelbach Gambit	1. b3 f5 2. Bb2 e6 3. e4
Nimzo-Larsen Attack: Spike Variation	1. b3 Nf6 2. Bb2 g6 3. g4
Nimzo-Larsen Attack: Symmetrical Variation	1. b3 b6
Bird Opening	1. f4
Bird Opening	1. f4 Nf6
Bird Opening: Batavo-Polish Attack	1. f4 Nf6 2. Nf3 g6 3. b4
Bird Opening: Double Duck Formation	1. f4 f5 2. d4 d5
Bird Opening: From's Gambit	1. f4 e5
Bird Opening: From's Gambit, Bahr Gambit	1. f4 e5 2. Nc3
Bird Opening: From's Gambit, Langheld Gambit	1. f4 e5 2. fxe5 d6 3. exd6 Nf6
Bird Opening: From's Gambit, Lasker Variation	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5
Bird Opening: From's Gambit, Lipke Variation	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4
Bird Opening: Hobbs Gambit	1. f4 g5
Bird Opening: Hobbs-Zilbermints Gambit	1. f4 h6 2. Nf3 g5
Bird Opening: Horsefly Defense	1. f4 Nh6
Bird Opening: Lasker Gambit	1. f4 e5 2. fxe5 f6
Bird Opening: Mujannah	1. f4 Nf6 2. c4
Bird Opening: Myers Defense	1. f4 b5
Bird Opening: Platz Gambit	1. f4 e5 2. fxe5 Ne7
Bird Opening: Schlechter Gambit	1. f4 e5 2. fxe5 Nc6
Bird Opening: Siegener Gambit	1. f4 e5 2. d4 exd4 3. Nf3 c5 4. c3
Bird Opening: Swiss Gambit	1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
Bird Opening: Wagner-Zwitersch Gambit	1. f4 f5 2. e4
Bird Opening: Dutch Variation	1. f4 d5
Bird Opening: Dutch Variation, Dudweiler Gambit	1. f4 d5 2. g4
Bird Opening: Lasker Variation	1. f4 d5 2. Nf3 Nf6 3. e3 c5
Bird Opening: Sturm Gambit	1. f4 d5 2. c4
Bird Opening: Thomas Gambit	1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3
Bird Opening: Williams Gambit	1. f4 d5 2. e4
Bird Opening: Williams Gambit	1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2
Bird Opening: Williams-Zilbermints Gambit	1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2
Colle System: Rhamphorhynchus Variation	1. Nf3 c5 2. e3 g6 3. d4 Bg7 4. dxc5 Qa5+
Modern Defense: Semi-Averbakh Variation, Polish Variation	1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qb6
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation	1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qa5+
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted	1. Nf3 g6 2. d4 Bg7 3. e4 d6 4. c4 c5 5. dxc5 Qa5+
Zukertort Defense: Kingside Variation	1. Nf3 Nh6 2. d4 g6
Zukertort Defense: Sicilian Knight Variation	1. Nf3 Na6 2. e4 c5
Zukertort Opening	1. Nf3
Zukertort Opening: Arctic Defense	1. Nf3 f6
Zukertort Opening: Arctic Defense, Drunken Knight Variation	1. Nf3 f6 2. e4 Nh6 3. d4 Nf7
Zukertort Opening: Basman Defense	1. Nf3 h6
Zukertort Opening: Black Mustang Defense	1. Nf3 Nc6
Zukertort Opening: Drunken Cavalry Variation	1. Nf3 Na6 2. e4 Nh6
Zukertort Opening: Dutch Variation	1. Nf3 f5
Zukertort Opening: Herrstrom Gambit	1. Nf3 g5
Zukertort Opening: Kingside Fianchetto	1. Nf3 g6
Zukertort Opening: Lisitsyn Gambit	1. Nf3 f5 2. e4
Zukertort Opening: Lisitsyn Gambit Deferred	1. Nf3 f5 2. d3 Nf6 3. e4
Zukertort Opening: Pirc Invitation	1. Nf3 d6
Zukertort Opening: Polish Defense	1. Nf3 b5
Zukertort Opening: Queen's Gambit Invitation	1. Nf3 e6
Zukertort Opening: Queenside Fianchetto Variation	1. Nf3 b6
Zukertort Opening: Ross Gambit	1. Nf3 e5
Zukertort Opening: Shabalov Gambit	1. Nf3 e6 2. c4 a6 3. Nc3 c5 4. g3 b5
Zukertort Opening: Sicilian Invitation	1. Nf3 c5
Zukertort Opening: Slav Invitation	1. Nf3 c6
Zukertort Opening: Speelsmet Gambit	1. Nf3 c5 2. d4 cxd4 3. e3
Zukertort Opening: St. George Defense	1. Nf3 a6
Zukertort Opening: The Walrus	1. Nf3 e5 2. Nxe5 Nc6 3. Nxc6 dxc6
Zukertort Opening: Vos Gambit	1. Nf3 d6 2. d4 e5
Zukertort Opening: Wade Defense	1. Nf3 d6 2. e4 Bg4
Zukertort Opening: Ware Defense	1. Nf3 a5
King's Indian Attack	1. Nf3 Nf6 2. g3 d5
King's Indian Attack: Smyslov Variation	1. Nf3 Nf6 2. g3 g6 3. b4
King's Indian Attack: Spassky Variation	1. Nf3 Nf6 2. g3 b5
King's Indian Attack: Symmetrical Defense	1. Nf3 Nf6 2. g3 g6
King's Indian Attack: Wahls Defense	1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. d3 d5
Polish Opening: Zukertort System	1. Nf3 Nf6 2. b4
Zukertort Opening	1. Nf3 Nf6
Zukertort Opening	1. Nf3 Nf6 2. Nc3 Nc6
Zukertort Opening: Double Fianchetto Attack	1. Nf3 Nf6 2. g3 g6 3. b3 Bg7 4. Bb2 O-O 5. Bg2 d6 6. O-O
Zukertort Opening: Lemberger Gambit	1. Nf3 Nf6 2. e4
Zukertort Opening: Myers Polish Attack	1. Nf3 Nf6 2. a4 g6 3. b4
Zukertort Opening: Nimzo-Larsen Variation	1. Nf3 Nf6 2. b3
Zukertort Opening: Quiet System	1. Nf3 Nf6 2. e3
Nimzo-Larsen Attack: Classical Variation	1. Nf3 d5 2. b3
Nimzo-Larsen Attack: Norfolk Gambit	1. Nf3 d5 2. b3 c5 3. e4
Nimzo-Larsen Attack: Norfolk Gambit	1. Nf3 d5 2. b3 Nf6 3. Bb2 c5 4. e4
Zukertort Opening	1. Nf3 d5
Zukertort Opening: Ampel Variation	1. Nf3 d5 2. Rg1
Zukertort Opening: Old Indian Attack	1. Nf3 d5 2. d3
Zukertort Opening: Pachman Gambit	1. Nf3 d5 2. e3 c5 3. c4 dxc4 4. b3
Zukertort Opening: Regina-Nu Gambit	1. Nf3 d5 2. b3 c5 3. c4 dxc4 4. Nc3
Zukertort Opening: Reversed Mexican Defense	1. Nf3 d5 2. Nc3
Zukertort Opening: Santasiere's Folly	1. b4 d5 2. Nf3
Zukertort Opening: Tennison Gambit	1. e4 d5 2. Nf3
Zukertort Opening: The Potato	1. Nf3 d5 2. a4
Hungarian Opening: Wiedenhagen-Beta Gambit	1. g3 d5 2. Nf3 g5
King's Indian Attack	1. Nf3 d5 2. g3
King's Indian Attack: Double Fianchetto	1. Nf3 d5 2. g3 g6
King's Indian Attack: Keres Variation	1. Nf3 d5 2. g3 Bg4
King's Indian Attack: Keres Variation	1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7
King's Indian Attack: Omega-Delta Gambit	1. Nf3 d5 2. g3 e5
King's Indian Attack: Pachman System	1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7
King's Indian Attack: Sicilian Variation	1. Nf3 d5 2. g3 c5
King's Indian Attack: Yugoslav Variation	1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bg4
King's Indian Attack: French Variation	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6
King's Indian Attack: Sicilian Variation	1. e4 e6 2. d3 d5 3. Nd2 Nf6 4. Ngf3 c5 5. g3 Nc6 6. Bg2 Be7 7. O-O O-O 8. Re1
King's Indian Attack: Sicilian Variation	1. Nf3 d5 2. g3 c5 3. Bg2
Zukertort Opening: Reversed Grünfeld	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4
Zukertort Opening: Reversed Grünfeld	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. d4 e6 5. O-O
Réti Opening	1. Nf3 d5 2. c4
Réti Opening: Advance Variation	1. Nf3 d5 2. c4 d4
Réti Opening: Advance Variation, Michel Gambit	1. Nf3 d5 2. c4 d4 3. b4 c5
Réti Opening: Penguin Variation	1. Nf3 d5 2. c4 d4 3. Rg1
Réti Opening: Reversed Blumenfeld Gambit	1. Nf3 d5 2. c4 d4 3. e3 c5 4. b4
Réti Opening: Réti Accepted	1. Nf3 d5 2. c4 dxc4
Réti Opening: Réti Gambit, Keres Variation	1. Nf3 d5 2. c4 dxc4 3. e3 Be6
Réti Opening: Zilbermints Gambit	1. Nf3 d5 2. c4 b5
English Opening	1. c4
